"Country Name","Region","Year","Population","GDP","Imports","Exports","Latitude","Longitude"
"United States","North America","2019","328329953.00","21539982000000.00","3116681000000.00","2539391000000.00","38.00","-97.00"
"United States","North America","2020","331526933.00","21354105000000.00","2777341000000.00","2151139000000.00","38.00","-97.00"
"United States","North America","2021","332048977.00","23681171000000.00","3415459000000.00","2555430000000.00","38.00","-97.00"
"United States","North America","2022","333271411.00","26006893000000.00","3976314000000.00","3017379000000.00","38.00","-97.00"
"United States","North America","2023","334914895.00","27720709000000.00","3849811000000.00","3052469000000.00","38.00","-97.00"
"United Kingdom","Western Europe","2019","66836327.00","2851407164907.81","941829862195.15","902036391533.85","53.10","1.28"
"United Kingdom","Western Europe","2020","67081234.00","2696778386607.65","785068374771.38","800128639354.78","53.10","1.28"
"United Kingdom","Western Europe","2021","67026292.00","3143323050707.26","924270940181.38","917230303664.11","53.10","1.28"
"United Kingdom","Western Europe","2022","67791000.00","3114042471144.39","1099672270617.25","1045296692285.10","53.10","1.28"
"United Kingdom","Western Europe","2023","68350000.00","3380854520809.54","1089182875638.53","1070469051019.27","53.10","1.28"
"Canada","North America","2019","37618495.00","1743725183672.52","589706748631.38","564142104614.78","45.24","-75.40"
"Canada","North America","2020","38028638.00","1655684730000.19","524572641557.22","487990676642.93","45.24","-75.40"
"Canada","North America","2021","38239864.00","2007472181464.15","626488133458.38","626659601646.08","45.24","-75.40"
"Canada","North America","2022","38939056.00","2161483369422.01","728719235183.08","731555074343.76","45.24","-75.40"
"Canada","North America","2023","40097761.00","2142470914401.36","724652002690.12","714927640904.96","45.24","-75.40"
"Japan","East Asia","2019","126633000.00","5117993853016.51","908591904960.75","893782209080.49","36.00","138.00"
"Japan","East Asia","2020","126261000.00","5055587093501.59","798645128766.75","785057625362.30","36.00","138.00"
"Japan","East Asia","2021","125681593.00","5034620784584.98","938755726387.13","912549013982.72","36.00","138.00"
"Japan","East Asia","2022","125124989.00","4256410760723.75","1076957434698.96","916904220798.19","36.00","138.00"
"Japan","East Asia","2023","124516650.00","4204494802431.55","981837994996.07","917023213163.20","36.00","138.00"
"Germany","Western Europe","2019","83092962.00","3957208055215.68","1454172759796.08","1677314255411.76","52.31","13.24"
"Germany","Western Europe","2020","83160871.00","3940142541354.10","1332716704314.40","1543321676059.15","52.31","13.24"
"Germany","Western Europe","2021","83196078.00","4348297440387.53","1630569552864.31","1854878618151.13","52.31","13.24"
"Germany","Western Europe","2022","83797985.00","4163596357879.39","1802154794791.84","1906115968542.81","52.31","13.24"
"Germany","Western Europe","2023","83280000.00","4525703903627.53","1782980609876.50","1964261782880.43","52.31","13.24"
"France","Western Europe","2019","67382061.00","2722793515171.76","913209092423.53","895514790269.02","48.86","2.35"
"France","Western Europe","2020","67601110.00","2647926055110.05","801836174373.08","756174143647.16","48.86","2.35"
"France","Western Europe","2021","67842811.00","2966433692008.09","964103785591.84","928139254791.07","48.86","2.35"
"France","Western Europe","2022","68065015.00","2796302210398.84","1098568561003.12","1020752900059.15","48.86","2.35"
"France","Western Europe","2023","68287487.00","3051831611384.76","1107189988383.75","1046168809647.27","48.86","2.35"
"Italy","Southern Europe","2019","59729081.00","2019606796583.53","560326098494.12","625065757185.88","42.50","12.50"
"Italy","Southern Europe","2020","59438851.00","1907481094079.23","480945200913.00","547940256804.98","42.50","12.50"
"Italy","Southern Europe","2021","59133173.00","2179207773596.09","634811260435.65","679294123497.66","42.50","12.50"
"Italy","Southern Europe","2022","59013667.00","2102995942720.44","776766269322.77","738509433518.87","42.50","12.50"
"Italy","Southern Europe","2023","58993475.00","2300941152991.81","748044559365.50","776101317710.60","42.50","12.50"
"China","East Asia","2019","1407745000.00","14279968506271.73","2496153305902.90","2628941104657.60","35.00","105.00"
"China","East Asia","2020","1411100000.00","14687744162801.03","2374737462777.69","2729884575163.89","35.00","105.00"
"China","East Asia","2021","1412360000.00","17820459508852.18","3093278397249.18","3554107780957.44","35.00","105.00"
"China","East Asia","2022","1412175000.00","17881782683707.29","3140040863536.23","3717887818646.97","35.00","105.00"
"China","East Asia","2023","1410710000.00","17794783039551.96","3127201616050.71","3513236885527.07","35.00","105.00"
"Finland","Northern Europe","2019","5521606.00","267014821129.41","106661292345.10","108456929458.82","60.10","24.56"
"Finland","Northern Europe","2020","5529543.00","270000311606.23","97119792947.86","97778840102.72","60.10","24.56"
"Finland","Northern Europe","2021","5541017.00","294223210496.12","117299452992.25","117459122934.11","60.10","24.56"
"Finland","Northern Europe","2022","5556106.00","280241515774.32","134617525704.28","129179582536.97","60.10","24.56"
"Finland","Northern Europe","2023","5583911.00","295532341254.91","125655308464.71","126533298590.20","60.10","24.56"
"India","South Asia","2019","1389030312.00","2835606256558.19","602315056052.53","529245063167.22","20.00","77.00"
"India","South Asia","2020","1402617695.00","2674851578587.27","510244747372.17","499728529072.63","20.00","77.00"
"India","South Asia","2021","1414203896.00","3167270623260.47","760902891806.01","677769255428.55","20.00","77.00"
"India","South Asia","2022","1425423212.00","3353470496886.33","897550749081.83","778021514754.53","20.00","77.00"
"India","South Asia","2023","1438069596.00","3567551674623.01","858839501091.31","779446235323.27","20.00","77.00"
"Greece","Southern Europe","2019","10721582.00","207305649887.02","85057112398.17","82010719998.88","39.00","22.00"
"Greece","Southern Europe","2020","10698599.00","191362985554.86","74331807538.92","60184480868.76","39.00","22.00"
"Greece","Southern Europe","2021","10569207.00","218303801895.33","104244979291.83","87890009619.13","39.00","22.00"
"Greece","Southern Europe","2022","10436882.00","218880566444.35","128393858720.01","107295001479.56","39.00","22.00"
"Greece","Southern Europe","2023","10405588.00","243498333237.80","117970148444.36","106428881743.30","39.00","22.00"
"Malta","Southern Europe","2019","504062.00","16337793530.78","17734720288.02","20343880278.88","35.53","14.30"
"Malta","Southern Europe","2020","515332.00","16385919535.67","19778505230.12","22314981279.40","35.53","14.30"
"Malta","Southern Europe","2021","518536.00","19718565605.43","20123265215.37","23385736622.61","35.53","14.30"
"Malta","Southern Europe","2022","531511.00","19209979975.23","22110751202.58","24699038777.45","35.53","14.30"
"Malta","Southern Europe","2023","552747.00","22328640241.56","23375394662.86","27411876648.93","35.53","14.30"
"Ukraine","Eastern Europe","2019","44957458.00","153883047509.58","75832862621.16","63448583044.48","49.00","32.00"
"Ukraine","Eastern Europe","2020","44680014.00","156617722013.34","63171454470.37","60801578067.78","49.00","32.00"
"Ukraine","Eastern Europe","2021","44298640.00","199765859570.94","83920880266.57","81281413098.77","49.00","32.00"
"Ukraine","Eastern Europe","2022","41048766.00","161989520721.19","84155821685.17","57417372455.43","49.00","32.00"
"Ukraine","Eastern Europe","2023","37732836.00","178757021965.01","88506343118.55","51099519087.54","49.00","32.00"
"South Africa","Sub-Saharan Africa","2019","59587885.00","389330032224.27","103935027605.43","105906059178.62","-29.00","-24.00"
"South Africa","Sub-Saharan Africa","2020","60562381.00","337974655408.06","78355182004.12","93199600859.22","-29.00","-24.00"
"South Africa","Sub-Saharan Africa","2021","61502603.00","420886877628.70","104931791612.21","130910965845.52","-29.00","-24.00"
"South Africa","Sub-Saharan Africa","2022","62378410.00","406920004594.07","127819891197.36","135795104058.47","-29.00","-24.00"
"South Africa","Sub-Saharan Africa","2023","63212384.00","380699271814.51","123443903852.98","124696245269.17","-29.00","-24.00"
"Spain","Southern Europe","2019","47134837.00","1403496387686.27","444777298015.69","486670273121.57","40.23","-3.43"
"Spain","Southern Europe","2020","47365655.00","1289783836971.21","373587218922.96","393139331915.95","40.23","-3.43"
"Spain","Southern Europe","2021","47415794.00","1461244901852.69","478813490689.91","493273673720.92","40.23","-3.43"
"Spain","Southern Europe","2022","47759127.00","1446498147749.03","562289009963.04","575057224700.39","40.23","-3.43"
"Spain","Southern Europe","2023","48347910.00","1620090734956.89","552976995107.85","616594516072.56","40.23","-3.43"
